NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
15:20:42,8/6/15,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20150806-16000-20lps-eq\16000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,21.2,,,,,,,,
Water Height,290,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,Moved,This file is to computed the 20lps-16kg run fluctuations because the sonars moved and the distance is not recorded.,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,768,0,264,0,,,,,
Transducer 2,668,0,286,0,,,,,
Transducer 3,868,0,243,0,,yes,,,
Transducer 4,568,0,293,0,,,,,
Transducer 5,468,0,314,0,,yes,,,
Transducer 6,368,0,337,0,,yes,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
278, 0:25:00,1499.6,1511.6,200.1,228,187.1,237.6,262.2,286.4
279, 0:25:05,1504.5,1516.5,202.9,226.9,187.2,243.9,263.5,288.8
280, 0:25:10,1510,1522.1,204.4,227.4,186,237.1,261.8,285
281, 0:25:15,1515,1527,203.4,232.1,184.5,237.6,263.8,288.9
282, 0:25:20,1519.6,1531.6,203.1,231.3,182.7,235.2,263,287.4
283, 0:25:25,1524.6,1536.6,204.4,227.7,185.4,239.9,261.4,287.4
284, 0:25:30,1529.6,1541.6,202.7,230.8,187.6,240.5,259.8,287.1
285, 0:25:35,1534.6,1546.6,202.5,225.2,186.5,237.4,262.7,288.2
286, 0:25:40,1540.1,1552.1,204.9,228.2,183.6,237.3,262.9,287.1
287, 0:25:45,1545,1557,203.1,229.2,183.9,239.2,259.6,286.7
288, 0:25:50,1549.9,1562,204.8,225.8,186.3,237.6,262.1,291.4
289, 0:25:55,1555,1567,206,227.3,185.8,238.4,260.4,288.3
290, 0:26:00,1559.9,1571.9,203.5,225.1,186,237.7,262.7,290.4
291, 0:26:05,1564.9,1576.9,202,230.2,184.9,237.9,259.9,289.7
292, 0:26:10,1569.9,1581.9,203.2,227.8,186.7,236.2,261.7,289
293, 0:26:15,1574.9,1586.9,205,227.4,186.3,236.3,261.6,285.2
294, 0:26:20,1579.9,1591.9,204.4,225.6,187.9,238.2,263.2,289.1
295, 0:26:25,1584.8,1596.9,204.5,229.7,182.4,237.4,265.8,287.4
296, 0:26:30,1589.8,1601.8,203.4,227.4,185.6,237.3,262.3,289.1
297, 0:26:35,1594.8,1606.8,203.4,226.9,185.9,237.5,263.4,287.9
298, 0:26:40,1599.8,1611.8,204.3,226.6,188.2,239.6,264.4,289.8
299, 0:26:45,1604.7,1616.8,205.1,229.2,185,239.1,262.3,291.2
300, 0:26:50,1609.7,1621.7,205.1,227.4,182.4,236.7,264.1,288.8
301, 0:26:55,1615.1,1627.1,201.4,230.3,188.5,240.3,261.4,289.2
302, 0:27:00,1620.2,1632.2,200.5,229.5,183.9,237.9,261.7,288.8
303, 0:27:05,1625.2,1637.2,205.7,227.5,188.2,241.7,261,287.2
304, 0:27:10,1629.8,1641.8,204.1,226.9,184.6,236.5,260,287.4
305, 0:27:15,1634.8,1646.8,204.8,226.8,183.6,238.4,261.2,287.4
306, 0:27:20,1639.7,1651.8,202,229.2,184,240.2,262,288.1
307, 0:27:25,1644.7,1656.8,201.7,229,186.5,238.8,261.9,289.5
308, 0:27:30,1649.7,1661.7,204.4,228.3,187.6,235.9,261.9,287.5
309, 0:27:35,1654.6,1666.6,203.7,229.3,184.4,236.6,261.3,287.1
310, 0:27:40,1659.7,1671.7,199.4,228.2,186.1,237.1,261,287.7
311, 0:27:45,1664.6,1676.7,202.3,227.5,187.2,236.1,261.5,290.6
312, 0:27:50,1669.7,1681.7,206.9,230.7,185.6,237.3,261.2,290.6
313, 0:27:55,1674.6,1686.6,200.6,228.6,183.6,238.2,260.6,287
314, 0:28:00,1679.6,1691.6,199.5,228.6,187,239.3,261.4,288.7
315, 0:28:05,1684.6,1696.6,202.5,227.9,187.2,238.8,258.5,287.8
316, 0:28:10,1690.1,1702.1,203.7,230,185.5,238.2,260.9,287.4
317, 0:28:15,1695,1707,201.8,228.3,182.7,240.2,263,286.5
318, 0:28:20,1700,1712,199.3,228.8,184.4,237.9,262.1,290.2
319, 0:28:25,1705,1717,200.5,227.5,187.3,241.2,261.7,287
320, 0:28:30,1710,1722,200.7,229.7,183,240.5,260.2,286.3
321, 0:28:35,1715,1727,200.5,226.5,184,237.6,264.4,286.4
322, 0:28:40,1719.9,1732,208.5,228.5,186,238.8,261.1,288.1
323, 0:28:45,1724.9,1736.9,205.4,229,186.2,237.3,262.9,288.6
324, 0:28:50,1729.9,1741.9,203.7,228.2,182.7,239.8,262.9,288
325, 0:28:55,1734.9,1746.9,201.9,225.6,184.5,239.1,260.9,288.1
326, 0:29:00,1739.8,1751.8,203.3,229.2,185.9,237.3,260.9,288
327, 0:29:05,1744.7,1756.8,204.3,225.6,183.3,238.5,262.6,290.2
328, 0:29:10,1749.8,1761.8,199.7,226.6,181,234.7,260.9,287.1
329, 0:29:15,1754.7,1766.8,201.7,232.7,182.8,239.6,262.1,289.7
330, 0:29:20,1759.7,1771.7,200.2,227.7,183.9,239.1,262.1,289.7
331, 0:29:25,1764.7,1776.7,200.1,229.3,182.6,240.1,262.7,287
332, 0:29:30,1769.7,1781.7,202.8,225.5,183,239.3,259.5,288.2
333, 0:29:35,1774.6,1786.6,204.6,228.4,186.4,236.5,258,287.7
334, 0:29:40,1779.6,1791.6,203.8,231,182.8,241.7,263.5,289.4
335, 0:29:45,1784.6,1796.6,202.5,227.7,184.1,238.4,263.6,291.1
336, 0:29:50,1789.6,1801.6,200.8,232.6,186.9,236.7,260.4,286.7
337, 0:29:55,1795,1807,202,231.5,184.6,239.6,261.7,290.3
338, 0:30:00,1800,1812,202.6,226.2,186,239.9,259.8,289.3
339, 0:30:05,1804.8,1816.8,204,229.2,187.2,237.2,261.9,291.1
