Run,20150724-001-eq,1500
x (m),WS (cm),BED (cm)
2,31,20
2.1,31,19
2.2,31,19
2.35,30,18
2.45,30,18
2.5,30,17
2.6,30,17
2.7,30,17
2.8,30,17.5
2.9,30,18
3,30,18
3.1,29.5,18
3.2,29.5,17
3.3,29.5,17.5
3.4,29.5,17.5
3.5,29,17.5
3.6,29,17
3.7,29,17
3.8,28,16
3.9,28,16.5
4,28,17
4.1,28,17
4.2,28,16.5
4.3,27.5,18
4.4,28,18.5
4.5,28.5,18
4.6,28.5,17.5
4.7,28,16
4.8,28,15
4.9,28.5,15
5,28.5,14.5
5.1,29,14.5
5.2,29.5,14.5
5.3,29.5,14.5
5.4,29.5,15
5.5,29.5,15
5.6,29,15
5.7,28,15
5.8,28,15
5.9,28,16.5
6,28,16
6.1,28,15
6.2,28,15
6.3,28,15
6.4,28,16
6.5,28,16
6.6,28,16
6.7,28,16
6.8,28,14
6.9,28.5,14
7,29.5,14.5
7.1,29,14.5
7.2,29,14.5
7.35,27.5,14.5
7.4,28,14.5
7.5,28,15
7.6,27.5,15
7.7,27,15
7.8,28,14.5
7.9,27,14.5
8,26.5,15
8.1,26,14
8.2,26,14
8.3,26.5,14.5
8.4,27.5,14.5
8.45,27.5,14.5
8.55,27.5,15
8.6,27,15
8.7,27,14.5
8.8,27,14
8.9,27,9
