Run,20150729-20lps-002-eq,8000
x (m),WS (cm),Bed (cm)
2,36,27.5
2.1,36,27
2.2,35.5,26.5
2.3,35.5,25.5
2.35,35,25
2.45,34.5,25
2.5,34,25
2.6,33.5,25
2.7,34,25.5
2.8,34.5,24
2.9,33,24
3,32.5,24
3.1,33,24
3.2,33,24
3.3,33.5,24
3.4,33,23.5
3.5,32,23.5
3.6,32,23
3.7,32,23
3.8,31.5,23
3.9,31.5,23
4,31.5,23.5
4.1,32,23
4.2,32,22.5
4.3,32,23
4.4,32.5,23.5
4.5,30,22.5
4.6,31.5,22
4.7,31,22
4.8,31.5,22.5
4.9,31,22
5,30,21.5
5.1,30,22
5.2,30,21.5
5.3,30,22
5.4,30,21.5
5.5,30,21.5
5.6,29.5,21
5.7,29,20
5.8,28.5,19.5
5.9,29,20
6,29,20.5
6.1,29.5,21.5
6.2,29,21
6.3,29,21
6.4,29,20
6.5,29,20
6.6,28,20
6.7,28,20
6.8,28,20
6.9,28,20
7,28,20
7.1,27.5,20
7.2,27,19.5
7.35,27,18.5
7.4,27,20
7.5,26,19.5
7.6,27,19
7.7,27,18
7.8,27,17
7.9,26.5,16.5
8,25,16
8.1,28,19
8.2,27,18
8.3,26.5,19
8.4,27,18
8.45,26,16
8.55,25,15
8.6,25,15
8.7,25,14
8.8,27,18
8.9,26,10
