Run,20150806-20lps-002-eq,16000
x (m),WS (cm),Bed (cm)
2,41,34
2.1,40.5,33.5
2.2,40,33
2.3,39.5,31.5
2.35,39,31.5
2.45,38.5,31
2.5,38.5,31
2.6,38,31
2.7,38.5,31
2.8,38,31
2.9,39,31
3,38,31
3.1,38,30.5
3.2,37,30
3.3,37.5,30.5
3.4,37.5,30.5
3.5,37.5,30.5
3.6,37,30.5
3.7,36,29.5
3.8,36,29
3.9,36,28.5
4,35,27.5
4.1,35,28
4.2,35,28
4.3,35,28
4.4,35,28.5
4.5,34.5,28.5
4.6,34.5,27.5
4.7,34,27
4.8,34,27
4.9,32.5,26.5
5,33,27
5.1,33,27
5.2,33,27
5.3,34,27
5.4,33,26
5.5,32,26
5.6,31,25.5
5.7,31,25
5.8,31,25
5.9,31,25
6,31,25
6.1,31,24.5
6.2,31,24.5
6.3,31,24.5
6.4,31,24
6.5,30,23.5
6.6,30,23.5
6.7,30,23.5
6.8,30,23.5
6.9,30,23.5
7,29.5,23
7.1,29,22.5
7.2,29,22.5
7.35,29,22
7.4,29,22
7.5,29,22
7.6,28.5,21.5
7.7,27,21.5
7.8,27,21.5
7.9,27,21.5
8,27,20.5
8.1,27,20.5
8.2,27,20.5
8.3,27,20.5
8.4,27,20.5
8.45,27,20.5
8.55,26.5,20
8.6,26,19.5
8.7,26,19.5
8.8,26,19.5
8.9,26,12
