Run,20150724-001-eq,1500
x (m),WS (cm),BED (cm)
2,31,18.5
2.1,31,18.5
2.2,30.5,17
2.3,30.5,15
2.35,30.5,15
2.45,30.5,15.5
2.5,30,15.5
2.6,30,16
2.7,30,16
2.8,30,17
2.9,29.5,17
3,29.5,17
3.1,30,17
3.2,30,18
3.3,29.5,18
3.4,29,18
3.5,29,18.5
3.6,29,18.5
3.7,29,18
3.8,29,15
3.9,29,15.5
4,29,16.5
4.1,29,16.5
4.2,29,16.5
4.3,29,16.5
4.4,28.5,16
4.5,28.5,16
4.6,27.5,16
4.7,27.5,16.5
4.8,27,16
4.9,27,16
5,27,15.5
5.1,27.5,16
5.2,27,15
5.3,28.5,14
5.4,28.5,14
5.5,28.5,14
5.6,28.5,14
5.7,28,14
5.8,28,14
5.9,28,14.5
6,28,15
6.1,28,15
6.2,28,15
6.3,28,15.5
6.4,28,15.5
6.5,28,16
6.6,28,16
6.7,27,16
6.8,26.5,16
6.9,26.5,15.5
7,26,15
7.1,26,14
7.2,26,14.5
7.35,28,13
7.4,28,13
7.5,29,13
7.6,29,13.5
7.7,28,13
7.8,27,13.5
7.9,27,14
8,27.5,15
8.1,27,14.5
8.2,27,14.5
8.3,26.5,14
8.4,27,13
8.45,26.5,13
8.55,27,14
8.6,27,14
8.7,27,14.5
8.8,27,15
8.9,27.5,9
